,price,propertyType,size,priceByArea,floor,rooms,bathrooms,district,avgPriceZone,status,hasLift,hasAirConditioning,hasBoxRoom,hasTerrace,hasGarden,hasSwimmingPool,hasParkingSpace,parkingSpacePrice,statusInt,box_posto_auto,propertyTypeInt,garden_terrace,floorCat,liftCat,roomsCat,bathroomsCat
0,16500.0,flat,102.0,161,0,4,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,0,0.0,2,0,3,0,0,0,4,1
1,16500.0,flat,23.0,717,0,2,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,0,0.0,2,0,3,0,0,0,2,1
2,16500.0,countryHouse,102.0,161,0,3,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,0,0.0,2,0,1,0,0,0,3,1
3,16500.0,countryHouse,102.0,161,3,2,0,Avigno-Masnago-Montello,2047,renew,0,0,0,0,0,0,0,0.0,1,0,1,0,1,0,2,0
4,22000.0,studio,102.0,215,0,1,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,1,1
5,29000.0,flat,65.0,446,5,2,1,Avigno-Masnago-Montello,2047,renew,0,0,0,0,0,0,0,0.0,1,0,3,0,1,0,2,1
6,38000.0,studio,35.0,1085,0,1,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,1,1
7,41250.0,flat,90.0,458,1,2,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,0,0,1,0.0,2,1,3,0,0,0,2,1
8,45000.0,studio,38.0,1184,3,1,1,Avigno-Masnago-Montello,2047,good,1,0,1,0,0,0,0,0.0,2,1,2,0,1,1,1,1
9,49000.0,flat,45.0,1088,1,2,1,Avigno-Masnago-Montello,2047,renew,0,0,0,0,0,0,0,0.0,1,0,3,0,0,0,2,1
10,55000.0,studio,40.0,1375,3,1,1,Avigno-Masnago-Montello,2047,good,1,0,0,0,1,0,0,0.0,2,0,2,1,1,1,1,1
11,55000.0,studio,53.0,1037,2,1,1,Avigno-Masnago-Montello,2047,good,1,0,0,0,0,0,0,0.0,2,0,2,0,1,1,1,1
12,55000.0,flat,58.0,948,1,2,1,Avigno-Masnago-Montello,2047,good,0,0,0,0,1,0,1,0.0,2,1,3,1,0,0,2,1
